"id","H min","H max","H top  mean","H_bottom mean","Q tot drain","Q tot recharge","Q tot base","Q seepage face","Gr Wet Per","Ow Wet Per","Ow Per","Ow Wet Width","CELL width","CELL H_mean","CELL Q recharge","CELL Q lateral","CELL c_fleak","CELL Q base","cross section form","model bottom","riparian connection","c(drainage-seepage) values","catchment form","iGrOw width (L/2)","iGrOw land width","domain height","drain width (B/2)","drain bottom","top talud angle","trap talud 1 over","catchment curvature","drain level","recharge *1000","kxx","kzz","kxz","c drain","c seepage","c base","H base","# hor under  drain","# hor right of drain","# verleft","# verright","# dens factor","comment"
"","9.0234","9.5486","8.8433","9.4711","-1.7326e-1","9.8595e-2","7.4728e-2","NaN","1.5860e+0","1.5860e+0","3.2063e+0","1.4051e+0","NaN","NaN","NaN","NaN","NaN","NaN","smooth","open","impermeable","non-interpolated","parallel","100","98","10","2","8","75","NaN","0","8.5","1","1","1","0","5","1","40","9.5","20","30","15","8","0.4","Run 6"
"1","9.0807","9.5276","8.8583","9.4863","-1.9214e-1","9.8595e-2","9.3586e-2","NaN","1.5860e+0","1.5860e+0","3.2063e+0","1.4051e+0","NaN","NaN","NaN","NaN","NaN","","smooth","open","impermeable","non-interpolated","parallel","100","98","10","2","8","75","NaN","0","8.5","1","1","1","0","5","1","15","9.5","20","30","15","8","0.4","Run 1"
"2","9.0654","9.5325","8.8549","9.4828","-1.8711e-1","9.8595e-2","8.8571e-2","NaN","1.5860e+0","1.5860e+0","3.2063e+0","1.4051e+0","NaN","NaN","NaN","NaN","NaN","","smooth","open","impermeable","non-interpolated","parallel","100","98","10","2","8","75","NaN","0","8.5","1","1","1","0","5","1","20","9.5","20","30","15","8","0.4","Run 2"
"3","9.0526","9.5371","8.8517","9.4795","-1.8288e-1","9.8595e-2","8.4353e-2","NaN","1.5860e+0","1.5860e+0","3.2063e+0","1.4051e+0","NaN","NaN","NaN","NaN","NaN","","smooth","open","impermeable","non-interpolated","parallel","100","98","10","2","8","75","NaN","0","8.5","1","1","1","0","5","1","25","9.5","20","30","15","8","0.4","Run 3"
"4","9.0416","9.5413","8.8488","9.4765","-1.7926e-1","9.8595e-2","8.0717e-2","NaN","1.5860e+0","1.5860e+0","3.2063e+0","1.4051e+0","NaN","NaN","NaN","NaN","NaN","","smooth","open","impermeable","non-interpolated","parallel","100","98","10","2","8","75","NaN","0","8.5","1","1","1","0","5","1","30","9.5","20","30","15","8","0.4","Run 4"
"5","9.0320","9.5451","8.8460","9.4738","-1.7608e-1","9.8595e-2","7.7542e-2","NaN","1.5860e+0","1.5860e+0","3.2063e+0","1.4051e+0","NaN","NaN","NaN","NaN","NaN","","smooth","open","impermeable","non-interpolated","parallel","100","98","10","2","8","75","NaN","0","8.5","1","1","1","0","5","1","35","9.5","20","30","15","8","0.4","Run 5"
"6","9.0234","9.5486","8.8433","9.4711","-1.7326e-1","9.8595e-2","7.4728e-2","NaN","1.5860e+0","1.5860e+0","3.2063e+0","1.4051e+0","NaN","NaN","NaN","NaN","NaN","","smooth","open","impermeable","non-interpolated","parallel","100","98","10","2","8","75","NaN","0","8.5","1","1","1","0","5","1","40","9.5","20","30","15","8","0.4","Run 6"
